500031,"(1,7,-45,-33)","(1,7,-45,-33)","(166677,1333416)"
500031,"(7,21,-51,-7)","(7,21,-51,-7)","(55559,444472)"
500031,"(9,21,-45,-11)","(7,168,132,26)","(55559,444472)"
500031,"(7,0,-60,-6)","(7,0,-60,-6)","(55559,444472)"
500031,"(6,6,57,64)","(7,-63,-12,-6)","(55559,444472)"
500031,"(2,13,10,31)","(7,-70,-23,-2)","(444472)"
500031,"(4,7,16,29)","(7,36,17,4)","(55559,63496,444472,19056737,21779128,152453896)"
500031,"(7,0,17,8)","(7,0,17,8)","(444472)"
500032,"(2,14,3,-7)","(2,14,3,-7)","(15626)"
500032,"(4,10,0,13)","(13,-377,-87,-5)","(15626)"
500033,"(2,9,-58,-8)","(47,50,-27,2)","(500033,4000264,51914926159,415319409272)"
500033,"(1,29,-18,-16)","(1,29,-18,-16)","(500033,4000264)"
500033,"(9,28,-13,-16)","(47,-471,122,-8)","(500033,4000264,51914926159,415319409272)"
500034,"(20,11,22,-2)","(2,22,-11,20)","(500034)"
500035,"(6,16,34,65)","(6,16,34,65)","(500035,4000280)"
500035,"(8,6,19,16)","(5,31,18,8)","(100007,800056,12500875,100007000)"
500036,"(5,2,29,10)","(37,6,-31,10)","(250018)"
500036,"(20,26,40,11)","(11,-40,26,-20)","(125009,250018)"
500036,"(20,4,29,5)","(197,253,116,20)","(125009,250018)"
500038,"(2,25,0,-34)","(7,56,-31,2)","(500038)"
500038,"(17,34,42,26)","(17,34,42,26)","(250019,500038)"
500038,"(20,31,44,22)","(7,-567,178,-14)","(500038)"
500040,"(1,3,60,156)","(1,3,60,156)","(2315,4630,6945,13890)"
500040,"(5,15,-18,-10)","(5,15,-18,-10)","(9260,27780)"
500040,"(2,3,30,39)","(11,87,-60,10)","(4630,9260,13890,27780)"
500040,"(1,12,-39,-38)","(1,12,-39,-38)","(2315,4630,6945,13890)"
500040,"(8,6,30,-5)","(5,30,-6,8)","(4630,13890)"
500040,"(15,21,30,10)","(15,21,30,10)","(1852,5556,9260,27780,231500,694500,1157500,3472500)"
500040,"(1,0,-63,-2)","(1,0,-63,-2)","(2315,4630,6945,13890)"
500040,"(3,21,-12,-20)","(3,21,-12,-20)","(2315,4630,6945,13890)"
500040,"(2,15,-6,-16)","(5,30,-21,2)","(4630,9260,13890,27780)"
500040,"(2,3,-30,-15)","(15,-30,-3,2)","(4630,9260,13890,27780)"
500040,"(5,6,-21,-6)","(5,6,-21,-6)","(926,1852,2778,4630,5556,9260,13890,27780,115750,231500,347250,578750,694500,1157500,1736250,3472500)"
500042,"(1,11,16,158)","(1,11,16,158)","(500042)"
500043,"(20,22,37,14)","(12,42,-47,14)","(500043,4000344)"
500044,"(1,8,56,372)","(1,8,56,372)","(125011,250022)"
500044,"(2,8,28,93)","(2,8,28,93)","(250022)"
500044,"(2,4,-5,-3)","(149,179,36,2)","(1678,5550738422)"
500045,"(4,5,28,7)","(7,-28,5,-4)","(71435,571480)"
500045,"(10,29,42,49)","(1,-46,-31,-10)","(10205,71435,81640,571480)"
500045,"(2,23,-10,34)","(2,23,-10,34)","(10205,71435,81640,571480)"
500045,"(4,17,0,49)","(4,17,0,49)","(10205,71435,81640,571480)"
500046,"(2,16,-29,-19)","(2,16,-29,-19)","(500046)"
500048,"(2,16,13,24)","(2,16,13,24)","(62506)"
500049,"(12,6,51,8)","(12,6,51,8)","(55561,444488)"
500049,"(11,2,24,6)","(6,-24,2,-11)","(166683,1333464)"
500049,"(2,24,6,99)","(2,24,6,99)","(55561,444488)"
500050,"(4,10,-17,-7)","(4,10,-17,-7)","(200020)"
500050,"(1,6,-73,-32)","(1,6,-73,-32)","(20002,100010)"
500050,"(25,5,26,6)","(37,85,-46,6)","(20002,100010)"
500050,"(14,16,25,10)","(2,36,-35,10)","(100010)"
500051,"(4,10,53,76)","(101,101,26,4)","(500051,4000408)"
500052,"(1,2,-49,-14)","(1,2,-49,-14)","(250026)"
500052,"(4,4,-49,-7)","(3,111,44,4)","(125013,250026)"
500052,"(3,10,39,76)","(3,10,39,76)","(83342,2250234)"
500052,"(9,11,28,14)","(9,11,28,14)","(83342,250026,2250234,6750702,60756318,182268954)"
500052,"(7,28,22,36)","(7,28,22,36)","(250026)"
500052,"(6,33,32,36)","(107,-116,51,-6)","(125013,250026)"
500054,"(2,0,50,1)","(2,0,50,1)","(250027,500054,2000216)"
500056,"(11,20,36,28)","(1,-29,-13,-11)","(62507,125014)"
500056,"(2,13,16,63)","(3,-76,-23,-2)","(250028)"
500056,"(7,18,20,22)","(7,18,20,22)","(125014,250028)"
500057,"(2,11,46,191)","(2,11,46,191)","(500057,4000456)"
500058,"(2,12,57,312)","(2,12,57,312)","(55562)"
500059,"(12,34,27,28)","(14,-35,-38,-12)","(500059,4000472)"
500061,"(6,18,29,62)","(6,18,29,62)","(500061,4000488)"
500064,"(3,6,16,22)","(3,6,16,22)","(15627)"
500066,"(9,5,4,22)","(14,-21,-22,-9)","(250033,500066,2000264,4000528)"
500067,"(2,0,-63,-1)","(1,-63,0,2)","(18521,55563,148168,444504)"
500067,"(12,15,18,28)","(73,-84,51,-12)","(18521,148168)"
500067,"(12,30,45,44)","(17,-21,-6,-12)","(148168)"
500067,"(20,6,21,-9)","(9,21,-6,20)","(18521,55563,148168,444504)"
500067,"(6,21,6,35)","(6,21,6,35)","(18521,148168)"
